term_code,SHRDGMR_DEGS_CODE,grst_code,SHRDGMR_LEVL_CODE,degc_code,degc_desc,acat_code,acat_desc,dlev_code,dlev_desc,major_code,major_desc,cip_code,stvcipc_desc,Age,gender,race,race_desc,minority,FirstGenInd,EKU_Low_Inc,STATE_ORIGIN,COUNTY_ORIGIN,ZIP_ORIGIN,state_code,county_code,STATECODE,STATENAME,COUNTYNM,country,US_Ter_Name,US_Ter_Alpha_code,US_Ter_Fips,US_Ter_Status,US_Ter_State_Ind,US_Ter_Country,EKU_Service_Region,Distance_Region,Appalachian,EKY_CoalFields,class,Institutional_GPA_End_of_Term,Overall_GPA_End_of_Term,Transfer_GPA_End_of_Term
202520,PN,WG,UG,BA,Bachelor of Arts,24,Baccalaureate Degree,BA,Bachelor,GNSD,General Studies,240102,Individualized Studies,62.9643835616438,M,6,"White, Non-Hispanic Only",N,Y,N,17,000,62812,17,000,IL,Illinois,,USA,Illinois,IL,17,State; counties,Y,USA,,,,,01,2.47368421052632,2.22131147540984,2
202520,PN,WG,GR,CERTU,University Certificate,22,Post Second. Cert/Dipl >1 < 2,LA,Less than Associate,SAFL,Safety Leadership,520101,General Business,61.9287671232877,M,2,"Black, Non-Hispanic Only",Y,Y,N,21,013,40977,21,013,KY,Kentucky,Bell,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,Y,06,4,4,
202520,PN,WG,UG,BSW,Bachelor of Social Work,24,Baccalaureate Degree,BA,Bachelor,SCWK,Social Work,440701,Social Work,59.2027397260274,F,2,"Black, Non-Hispanic Only",Y,Y,Y,21,013,40504,21,013,KY,Kentucky,Bell,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,Y,01,3.92857142857143,3.55769230769231,2
202520,PN,WG,GR,MSN,Master of Science in Nursing,42,Masters Degree,MA,Master,NSCR,Nursing,513801,Nursing (R.N. Training),55.1917808219178,F,2,"Black, Non-Hispanic Only",Y,Y,Y,21,067,40517,21,067,KY,Kentucky,Fayette,USA,Kentucky,KY,21,State; counties,Y,USA,N,,N,N,06,3.5,3.5,
202520,PN,WG,UG,BA,Bachelor of Arts,24,Baccalaureate Degree,BA,Bachelor,GNSD,General Studies,240102,Individualized Studies,54.2054794520548,F,6,"White, Non-Hispanic Only",N,N,N,21,111,40475,21,111,KY,Kentucky,Jefferson,USA,Kentucky,KY,21,State; counties,Y,USA,N,,N,N,01,3.2,3.24528301886792,4
202520,PN,WG,GR,MBA,Master of Business Admin,42,Masters Degree,MA,Master,BUAO,Business Administration,520101,General Business,54.1424657534247,F,6,"White, Non-Hispanic Only",N,Y,N,21,151,40475,21,151,KY,Kentucky,Madison,USA,Kentucky,KY,21,State; counties,Y,USA,Y,,Y,N,06,3.77777777777778,3.77777777777778,
202520,PN,TD,GR,EDD,Doctor of Education,44,Doctoral Degree,DR,Doctorate,EDP,Edu. Leadership/Policy Studies,130401,Educational Leadership & Admin,54.372602739726,F,6,"White, Non-Hispanic Only",N,Y,N,21,151,40336,21,151,KY,Kentucky,Madison,USA,Kentucky,KY,21,State; counties,Y,USA,Y,,Y,N,06,3.97058823529412,3.97058823529412,
202520,PN,PG,UG,BA,Bachelor of Arts,24,Baccalaureate Degree,BA,Bachelor,GNSD,General Studies,240102,Individualized Studies,53.5287671232877,F,6,"White, Non-Hispanic Only",N,N,N,21,125,40741,21,125,KY,Kentucky,Laurel,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,Y,01,2.92105263157895,3.04262626262626,3.20761904761905
202520,PN,WG,GR,MA,Master of Arts,42,Masters Degree,MA,Master,ENWP,English & Writing Professions,230101,English,53.0849315068493,F,6,"White, Non-Hispanic Only",N,N,N,21,151,40403,21,151,KY,Kentucky,Madison,USA,Kentucky,KY,21,State; counties,Y,USA,Y,,Y,N,06,3.75,3.75,
202520,PN,WG,GR,DNP,Doctor of Nursing Practice,44,Doctoral Degree,DR,Doctorate,NSPR,Nursing Practice,513818,Nursing Practice,52.6821917808219,M,6,"White, Non-Hispanic Only",N,Y,N,21,067,42503,21,067,KY,Kentucky,Fayette,USA,Kentucky,KY,21,State; counties,Y,USA,N,,N,N,06,3.53333333333333,3.53333333333333,
202520,PN,PG,UG,BSN,Bachelor of Science in Nursing,24,Baccalaureate Degree,BA,Bachelor,NSCR,Nursing,513801,Nursing (R.N. Training),51.254794520548,M,6,"White, Non-Hispanic Only",N,Y,N,21,153,40356,21,153,KY,Kentucky,Magoffin,USA,Kentucky,KY,21,State; counties,Y,USA,N,E,Y,Y,01,2.94979079497908,2.91836734693878,2.84615384615385
202520,PN,WG,UG,BA,Bachelor of Arts,24,Baccalaureate Degree,BA,Bachelor,GNSD,General Studies,240102,Individualized Studies,54.9561643835616,F,6,"White, Non-Hispanic Only",N,N,N,21,089,40475,21,089,KY,Kentucky,Greenup,USA,Kentucky,KY,21,State; counties,Y,USA,N,,Y,Y,01,2.20833333333333,2.41935483870968,2.60240963855422
202520,PN,WG,GR,MAED,Master of Arts in Education,42,Masters Degree,MA,Master,SCHO,School Leadership,130404,"Teach, Learn, & Education Lead",49.3342465753425,F,6,"White, Non-Hispanic Only",N,N,N,21,209,40324,21,209,KY,Kentucky,Scott,USA,Kentucky,KY,21,State; counties,Y,USA,N,,N,N,06,4,4,
202520,PN,PG,GR,CERTU,University Certificate,22,Post Second. Cert/Dipl >1 < 2,LA,Less than Associate,UXD,User Experience Design,130501,Instructional Computing,50.9616438356164,F,6,"White, Non-Hispanic Only",N,Y,N,21,151,40403,21,151,KY,Kentucky,Madison,USA,Kentucky,KY,21,State; counties,Y,USA,Y,,Y,N,06,3.66666666666667,3.66666666666667,
202520,PN,WG,GR,MAED,Master of Arts in Education,42,Masters Degree,MA,Master,SCHO,School Leadership,130404,"Teach, Learn, & Education Lead",51.0849315068493,F,8,Two or More Races,Y,N,N,51,000,24219,51,000,VA,Virginia,,USA,Virginia,VA,51,State; counties,Y,USA,,,,,06,4,4,
202520,PN,WG,GR,CERTUM,Post-MSN Univ. Certificate,43,Post Masters Certificate,MA,Master,FNPR,APRN Family Nurse Practitioner,513805,Family Practice Nurse/Nurse Pr,51.0630136986301,F,6,"White, Non-Hispanic Only",N,N,N,21,067,40361,21,067,KY,Kentucky,Fayette,USA,Kentucky,KY,21,State; counties,Y,USA,N,,N,N,06,3.66666666666667,3.66666666666667,
202520,PN,WG,UG,BS,Bachelor of Science,24,Baccalaureate Degree,BA,Bachelor,EETE,Elementary Education Teaching,131202,Elementary Education,48.9013698630137,F,6,"White, Non-Hispanic Only",N,N,Y,21,235,40759,21,235,KY,Kentucky,Whitley,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,Y,01,3.80672268907563,3.80672268907563,
202520,PN,PG,UG,BA,Bachelor of Arts,24,Baccalaureate Degree,BA,Bachelor,GNSD,General Studies,240102,Individualized Studies,47.9808219178082,F,8,Two or More Races,Y,Y,Y,21,051,40962,21,051,KY,Kentucky,Clay,USA,Kentucky,KY,21,State; counties,Y,USA,Y,E,Y,Y,01,2.26771653543307,2.26771653543307,
202520,PN,WG,GR,MAED,Master of Arts in Education,42,Masters Degree,MA,Master,SCHO,School Leadership,130404,"Teach, Learn, & Education Lead",45.6520547945205,F,6,"White, Non-Hispanic Only",N,Y,N,21,195,40475,21,195,KY,Kentucky,Pike,USA,Kentucky,KY,21,State; counties,Y,USA,N,E,Y,Y,06,4,4,
202520,PN,PG,UG,BSN,Bachelor of Science in Nursing,24,Baccalaureate Degree,BA,Bachelor,NSCR,Nursing,513801,Nursing (R.N. Training),47,F,6,"White, Non-Hispanic Only",N,Y,N,21,231,42633,21,231,KY,Kentucky,Wayne,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,N,01,3.3448275862069,3.1025641025641,2.86440677966102
202520,PN,WG,GR,MBA,Master of Business Admin,42,Masters Degree,MA,Master,BUAO,Business Administration,520101,General Business,44.827397260274,F,6,"White, Non-Hispanic Only",N,Y,N,21,103,40011,21,103,KY,Kentucky,Henry,USA,Kentucky,KY,21,State; counties,Y,USA,N,,N,N,06,3.22222222222222,3.22222222222222,
202520,PN,WG,GR,MA,Master of Arts,42,Masters Degree,MA,Master,ENWP,English & Writing Professions,230101,English,44.0958904109589,F,6,"White, Non-Hispanic Only",N,Y,N,21,197,40475,21,197,KY,Kentucky,Powell,USA,Kentucky,KY,21,State; counties,Y,USA,Y,,Y,Y,06,4,4,
202520,PN,PG,UG,BSW,Bachelor of Social Work,24,Baccalaureate Degree,BA,Bachelor,SCWK,Social Work,440701,Social Work,44.4767123287671,F,6,"White, Non-Hispanic Only",N,Y,Y,21,051,99999,21,051,KY,Kentucky,Clay,USA,Kentucky,KY,21,State; counties,Y,USA,Y,E,Y,Y,01,3.13953488372093,2.89090909090909,2
202520,PN,TD,GR,EDD,Doctor of Education,44,Doctoral Degree,DR,Doctorate,EDUP,Edu. Leadership/Policy Studies,130401,Educational Leadership & Admin,43.9479452054795,F,6,"White, Non-Hispanic Only",N,Y,Y,21,231,42633,21,231,KY,Kentucky,Wayne,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,N,06,3.9375,3.9375,
202520,PN,PG,UG,BS,Bachelor of Science,24,Baccalaureate Degree,BA,Bachelor,CORR,Correctional & Juv Jus Studies,430102,Corrections & Admin Of Justice,43.2986301369863,M,6,"White, Non-Hispanic Only",N,Y,Y,21,235,40740,21,235,KY,Kentucky,Whitley,USA,Kentucky,KY,21,State; counties,Y,USA,Y,S,Y,Y,01,2.56179775280899,2.79838709677419,3.4
